timestamp,group,lag,retry_rate,recovery_rate,dlq_rate,throughput
1780380766.052694,grupo-reintentos,-1,0,0,0,0
1780380776.0542445,grupo-consumidores,-1,0,0,0,0
1780380776.0542445,grupo-reintentos,-1,0,0,0,0
1780380786.0556884,grupo-consumidores,-1,0,0,0,0
1780380786.0556884,grupo-reintentos,-1,0,0,0,0
1780380796.056488,grupo-consumidores,-1,0,0,0,0
1780380796.056488,grupo-reintentos,-1,0,0,0,0
1780380806.0573199,grupo-consumidores,-1,0,0,0,0
1780380806.0573199,grupo-reintentos,-1,0,0,0,0
1780380816.0584652,grupo-consumidores,-1,0,0,0,0
1780380816.0584652,grupo-reintentos,-1,0,0,0,0
1780380826.0601006,grupo-consumidores,-1,0,0,0,0
1780380826.0601006,grupo-reintentos,-1,0,0,0,0
1780380836.0610223,grupo-consumidores,-1,0,0,0,0
1780380836.0610223,grupo-reintentos,-1,0,0,0,0
1780380846.0629153,grupo-consumidores,-1,0,0,0,0
1780380846.0629153,grupo-reintentos,-1,0,0,0,0
1780380856.0648236,grupo-consumidores,-1,0,0,0,0
1780380856.0648236,grupo-reintentos,-1,0,0,0,0
1780380866.0656135,grupo-consumidores,-1,0,0,0,0
1780380866.0656135,grupo-reintentos,-1,0,0,0,0
1780380876.067366,grupo-consumidores,-1,0,0,0,0
1780380876.067366,grupo-reintentos,-1,0,0,0,0
1780380886.0691352,grupo-consumidores,-1,0,0,0,0
1780380886.0691352,grupo-reintentos,-1,0,0,0,0
1780380896.0708501,grupo-consumidores,-1,0,0,0,0
1780380896.0708501,grupo-reintentos,-1,0,0,0,0
1780380906.0720377,grupo-consumidores,-1,0,0,0,0
1780380906.0720377,grupo-reintentos,-1,0,0,0,0
1780380916.0730247,grupo-consumidores,-1,0,0,0,0
1780380916.0730247,grupo-reintentos,-1,0,0,0,0
1780380926.074816,grupo-consumidores,-1,0,0,0,0
1780380926.074816,grupo-reintentos,-1,0,0,0,0
1780380936.075527,grupo-consumidores,-1,0,0,0,0
1780380936.075527,grupo-reintentos,-1,0,0,0,0
1780380946.0768898,grupo-consumidores,-1,0,0,0,0
1780380946.0768898,grupo-reintentos,-1,0,0,0,0
1780380956.0789537,grupo-consumidores,-1,0,0,0,0
1780380956.0789537,grupo-reintentos,-1,0,0,0,0
1780380966.08109,grupo-consumidores,-1,0,0,0,0
1780380966.08109,grupo-reintentos,-1,0,0,0,0
1780380976.0828795,grupo-consumidores,-1,0,0,0,0
1780380976.0828795,grupo-reintentos,-1,0,0,0,0
1780380986.0849624,grupo-consumidores,-1,0,0,0,0
1780380986.0849624,grupo-reintentos,-1,0,0,0,0
1780380996.0868099,grupo-consumidores,-1,0,0,0,0
1780380996.0868099,grupo-reintentos,-1,0,0,0,0
1780381006.0890963,grupo-consumidores,-1,0,0,0,0
1780381006.0890963,grupo-reintentos,-1,0,0,0,0
1780381016.090187,grupo-consumidores,-1,0,0,0,0
1780381016.090187,grupo-reintentos,-1,0,0,0,0
1780381026.0909653,grupo-consumidores,-1,0,0,0,0
1780381026.0909653,grupo-reintentos,-1,0,0,0,0
1780381036.0928552,grupo-consumidores,-1,0,0,0,0
1780381036.0928552,grupo-reintentos,-1,0,0,0,0
1780381046.0946004,grupo-consumidores,-1,0,0,0,0
1780381046.0946004,grupo-reintentos,-1,0,0,0,0
1780381056.096909,grupo-consumidores,-1,0,0,0,0
1780381056.096909,grupo-reintentos,-1,0,0,0,0
1780381066.1007993,grupo-consumidores,-1,0,0,0,0
1780381066.1007993,grupo-reintentos,-1,0,0,0,0
1780381076.101709,grupo-consumidores,-1,0,0,0,0
1780381076.101709,grupo-reintentos,-1,0,0,0,0
1780381086.1033316,grupo-consumidores,-1,0,0,0,0
1780381086.1033316,grupo-reintentos,-1,0,0,0,0
1780381096.104015,grupo-consumidores,-1,0,0,0,0
1780381096.104015,grupo-reintentos,-1,0,0,0,0
1780381106.1051927,grupo-consumidores,-1,0,0,0,0
1780381106.1051927,grupo-reintentos,-1,0,0,0,0
1780381116.1069164,grupo-consumidores,-1,0,0,0,0
1780381116.1069164,grupo-reintentos,-1,0,0,0,0
1780381126.1078026,grupo-consumidores,-1,0,0,0,0
1780381126.1078026,grupo-reintentos,-1,0,0,0,0
1780381136.1095998,grupo-consumidores,-1,0,0,0,0
1780381136.1095998,grupo-reintentos,-1,0,0,0,0
1780381146.1115313,grupo-consumidores,-1,0,0,0,0
1780381146.1115313,grupo-reintentos,-1,0,0,0,0
1780381156.1134489,grupo-consumidores,-1,0,0,0,0
1780381156.1134489,grupo-reintentos,-1,0,0,0,0
1780381166.1149876,grupo-consumidores,-1,0,0,0,0
1780381166.1149876,grupo-reintentos,-1,0,0,0,0
1780381176.116864,grupo-consumidores,-1,0,0,0,0
1780381176.116864,grupo-reintentos,-1,0,0,0,0
1780381186.1184294,grupo-consumidores,-1,0,0,0,0
1780381186.1184294,grupo-reintentos,-1,0,0,0,0
1780381196.1193216,grupo-consumidores,-1,0,0,0,0
1780381196.1193216,grupo-reintentos,-1,0,0,0,0
1780381206.1203806,grupo-consumidores,-1,0,0,0,0
1780381206.1203806,grupo-reintentos,-1,0,0,0,0
1780381216.122136,grupo-consumidores,-1,0,0,0,0
1780381216.122136,grupo-reintentos,-1,0,0,0,0
1780381226.1238487,grupo-consumidores,-1,0,0,0,0
1780381226.1238487,grupo-reintentos,-1,0,0,0,0
1780381236.127172,grupo-consumidores,-1,0,0,0,0
1780381236.127172,grupo-reintentos,-1,0,0,0,0
1780381246.1281497,grupo-consumidores,-1,0,0,0,0
1780381246.1281497,grupo-reintentos,-1,0,0,0,0
1780381256.129846,grupo-consumidores,-1,0,0,0,0
1780381256.129846,grupo-reintentos,-1,0,0,0,0
1780381266.1318357,grupo-consumidores,-1,0,0,0,0
1780381266.1318357,grupo-reintentos,-1,0,0,0,0
1780381276.1339262,grupo-consumidores,-1,0,0,0,0
1780381276.1339262,grupo-reintentos,-1,0,0,0,0
1780381286.1358597,grupo-consumidores,-1,0,0,0,0
1780381286.1358597,grupo-reintentos,-1,0,0,0,0
1780381296.1379182,grupo-consumidores,-1,0,0,0,0
1780381296.1379182,grupo-reintentos,-1,0,0,0,0
1780381306.1387722,grupo-consumidores,-1,0,0,0,0
1780381306.1387722,grupo-reintentos,-1,0,0,0,0
1780381316.140252,grupo-consumidores,-1,0,0,0,0
1780381316.140252,grupo-reintentos,-1,0,0,0,0
1780381326.1419315,grupo-consumidores,-1,0,0,0,0
1780381326.1419315,grupo-reintentos,-1,0,0,0,0
1780381336.1435459,grupo-consumidores,-1,0,0,0,0
1780381336.1435459,grupo-reintentos,-1,0,0,0,0
1780381346.144356,grupo-consumidores,-1,0,0,0,0
1780381346.144356,grupo-reintentos,-1,0,0,0,0
1780381356.1454608,grupo-consumidores,-1,0,0,0,0
1780381356.1454608,grupo-reintentos,-1,0,0,0,0
1780381366.1472864,grupo-consumidores,-1,0,0,0,0
1780381366.1472864,grupo-reintentos,-1,0,0,0,0
1780381376.1486735,grupo-consumidores,-1,0,0,0,0
1780381376.1486735,grupo-reintentos,-1,0,0,0,0
1780381386.1512108,grupo-consumidores,-1,0,0,0,0
1780381386.1512108,grupo-reintentos,-1,0,0,0,0
1780381396.152652,grupo-consumidores,-1,0,0,0,0
1780381396.152652,grupo-reintentos,-1,0,0,0,0
1780381406.1534882,grupo-consumidores,-1,0,0,0,0
1780381406.1534882,grupo-reintentos,-1,0,0,0,0
1780381416.1551664,grupo-consumidores,-1,0,0,0,0
1780381416.1551664,grupo-reintentos,-1,0,0,0,0
1780381426.1569564,grupo-consumidores,-1,0,0,0,0
1780381426.1569564,grupo-reintentos,-1,0,0,0,0
1780381436.1579301,grupo-consumidores,-1,0,0,0,0
1780381436.1579301,grupo-reintentos,-1,0,0,0,0
1780381446.159853,grupo-consumidores,-1,0,0,0,0
1780381446.159853,grupo-reintentos,-1,0,0,0,0
1780381456.1616557,grupo-consumidores,-1,0,0,0,0
1780381456.1616557,grupo-reintentos,-1,0,0,0,0
1780381466.1627576,grupo-consumidores,-1,0,0,0,0
1780381466.1627576,grupo-reintentos,-1,0,0,0,0
1780381476.1635556,grupo-consumidores,-1,0,0,0,0
1780381476.1635556,grupo-reintentos,-1,0,0,0,0
1780381486.1649766,grupo-consumidores,-1,0,0,0,0
1780381486.1649766,grupo-reintentos,-1,0,0,0,0
1780381496.1667953,grupo-consumidores,-1,0,0,0,0
1780381496.1667953,grupo-reintentos,-1,0,0,0,0
1780381506.1688812,grupo-consumidores,-1,0,0,0,0
1780381506.1688812,grupo-reintentos,-1,0,0,0,0
1780381516.1795473,grupo-consumidores,-1,0,0,0,0
1780381516.1795473,grupo-reintentos,-1,0,0,0,0
1780381526.1818776,grupo-consumidores,-1,0,0,0,0
1780381526.1818776,grupo-reintentos,-1,0,0,0,0
1780381536.1835012,grupo-consumidores,-1,0,0,0,0
1780381536.1835012,grupo-reintentos,-1,0,0,0,0
1780381546.1852894,grupo-consumidores,-1,0,0,0,0
1780381546.1852894,grupo-reintentos,-1,0,0,0,0
1780381556.186882,grupo-consumidores,-1,0,0,0,0
